2014 Total Electric Industry- Customers,,,,,
"(Data from forms EIA-861- schedules 4A, 4B, 4D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,6243013,862269,28017,8,7133307
Connecticut,1459239,155372,4648,4,1619263
Maine,706952,91541,3023,0,801516
Massachusetts,2720128,398717,14896,3,3133744
New Hampshire,606883,105840,3342,0,716065
Rhode Island,438879,58346,1884,1,499110
Vermont,310932,52453,224,0,363609
Middle Atlantic,15806914,2247455,44397,17,18098783
New Jersey,3470874,511335,12313,6,3994528
New York,7046829,1045571,7862,6,8100268
Pennsylvania,5289211,690549,24222,5,6003987
East North Central,19716397,2436567,62167,8,22215139
Illinois,5145022,600246,6098,3,5751369
Indiana,2784660,348699,18106,1,3151466
Michigan,4273126,522422,13289,2,4808839
Ohio,4882159,619293,19209,2,5520663
Wisconsin,2631430,345907,5465,0,2982802
West North Central,9210245,1395659,124203,2,10730109
Iowa,1348641,224187,7399,0,1580227
Kansas,1228858,226043,26787,0,1481688
Minnesota,2345860,284978,9898,1,2640737
Missouri,2724541,371495,10282,1,3106319
Nebraska,817425,151382,57429,0,1026236
North Dakota,360171,67871,8607,0,436649
South Dakota,384749,69703,3801,0,458253
South Atlantic,26537014,3629410,79443,11,30245878
Delaware,407508,52203,862,0,460573
District of Columbia,239355,26463,1,1,265820
Florida,8891020,1180768,18779,2,10090569
Georgia,4137057,552712,20300,1,4710070
Maryland,2234962,248362,8780,5,2492109
North Carolina,4303476,655841,10356,1,4969674
South Carolina,2157091,349432,4566,0,2511089
Virginia,3303676,422931,3653,1,3730261
West Virginia,862869,140698,12146,0,1015713
East South Central,8129794,1360293,26805,1,9516893
Alabama,2169790,360901,7236,0,2537927
Kentucky,1939489,297182,7376,0,2244047
Mississippi,1263583,230416,10922,0,1504921
Tennessee,2756932,471794,1271,1,3229998
West South Central,15220458,2191385,175117,6,17586966
Arkansas,1345009,185842,35685,2,1566538
Louisiana,2026223,297789,19553,1,2343566
Oklahoma,1710352,275276,18238,0,2003866
Texas,10138874,1432478,101641,3,11672996
Mountain,9277078,1354009,96452,3,10727542
Arizona,2661694,312221,7710,0,2981625
Colorado,2193520,360237,19234,1,2572992
Idaho,690277,104463,27127,0,821867
Montana,485041,103132,9597,0,597770
Nevada,1110535,157984,3691,1,1272211
New Mexico,869875,139873,9112,0,1018860
Utah,1000416,117921,9658,1,1127996
Wyoming,265720,58178,10323,0,334221
Pacific Contiguous,17832897,2265252,200608,23,20298780
California,13256068,1676201,146944,13,15079226
Oregon,1669124,229832,23356,4,1922316
Washington,2907705,359219,30308,6,3297238
Pacific Noncontiguous,706606,111696,2003,0,820305
Alaska,281438,51017,1287,0,333742
Hawaii,425168,60679,716,0,486563
U.S. Total,128680416,17853995,839212,79,147373702
